施設名,パートナー,所在地,カテゴリ,金額,金額（税抜・万円/年）,状況,住所,GoogleMap,GoogleマップURL,経度,緯度,契約期間（年）,契約期間(詳細）,掲載元URL,備考,,,,,,,,
松本市【松本市浅間温泉庭球公園】（愛称：オムニコート浅間温泉テニスパーク）,株式会社住ゴム産業,長野県,スポーツ施設,年額80万円（税抜）,80,契約期間中,長野県松本市浅間温泉1-9-2,地図を見る,https://www.google.co.jp/maps/search/長野県松本市浅間温泉1-9-2,137.9887236,36.2566741,5,5年（2026年4月1日～2031年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市波田扇子田運動公園】（愛称：タカサワ通商ＳＥＮＳＵＤＡ Ｐａｒｋ）,タカサワ通商株式会社,長野県,スポーツ施設,年額80万円（税抜）,80,契約期間中,長野県松本市波田230-1,地図を見る,https://www.google.co.jp/maps/search/長野県松本市波田230-1,137.8824921,36.2157147,5,5年（2026年4月1日～2031年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市柔剣道場】（愛称：テスコム・エレコム武道場）,テスコム電機株式会社,長野県,スポーツ施設,年額50万円（税抜）,50,契約期間中,長野県松本市中央4-7-28,地図を見る,https://www.google.co.jp/maps/search/長野県松本市中央4-7-28,137.9773662,36.2327082,5,5年（2025年10月1日～2030年9月30日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市かりがねサッカー場】（愛称：信州グリーンフィールドかりがね）,株式会社信州グリーン,長野県,スポーツ施設,年額140万円（税抜）,140,契約期間中,長野県松本市惣社325,地図を見る,https://www.google.co.jp/maps/search/長野県松本市惣社325,137.992889,36.2493961,5,5年（2025年4月1日～2030年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市美鈴湖自転車競技場】（愛称：スカイロードサイクリングスタジアム松本）,株式会社スカイロード,長野県,スポーツ施設,年額60万円（税抜）,60,契約期間中,長野県松本市三才山1830,地図を見る,https://www.google.co.jp/maps/search/長野県松本市三才山1830,138.015365,36.259651,5,5年（2025年4月1日～2030年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市総合体育館】（愛称：エア・ウォーターアリーナ松本）,エア・ウォーター株式会社,長野県,スポーツ施設,年額470万円（税抜）,470,契約期間中,長野県松本市美須々5-1,地図を見る,https://www.google.co.jp/maps/search/長野県松本市美須々5-1,137.9806077,36.2566956,5,5年（2024年4月1日～2029年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市野球場】（愛称：セキスイハイム松本スタジアム）,セキスイハイム信越株式会社,長野県,スポーツ施設,年額470万円（税抜）,470,契約期間中,長野県松本市浅間温泉1-9-1,地図を見る,https://www.google.co.jp/maps/search/長野県松本市浅間温泉1-9-1,137.9889821,36.2588101,5,5年（2023年4月1日～2028年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市四賀球場】（愛称：信州グリーン ローズスタジアム四賀）,株式会社信州グリーン,長野県,スポーツ施設,年額120万円（税抜）,120,契約期間中,長野県松本市会田2920,地図を見る,https://www.google.co.jp/maps/search/長野県松本市会田2920,137.9975317,36.358147,5,5年（2023年4月1日～2028年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
松本市【松本市営松本城大手門駐車場】（愛称：東洋計器大手門駐車場）,東洋計器株式会社,長野県,交通・インフラ,年額50万円（税抜）,50,契約期間中,長野県松本市大手2-3-10,地図を見る,https://www.google.co.jp/maps/search/長野県松本市大手2-3-10,137.968799,36.23502,4,4年（2023年4月1日～2027年3月31日）,https://www.city.matsumoto.nagano.jp/soshiki/13/91833.html,なし,,,,,,,,
岐阜市【岐阜市民会館】（愛称：ぎふしんフォーラム）,岐阜信用金庫,岐阜県,文化交流施設,年額250万円（税抜）,250,契約期間中,岐阜県岐阜市美江寺町2-6,地図を見る,https://www.google.co.jp/maps/search/岐阜県岐阜市美江寺町2-6,136.7580836,35.4254529,3,3年（2025年4月1日～2028年3月31日）,https://www.city.gifu.lg.jp/info/kaikaku/1035576/1022686/1025734.html,なし,,,,,,,,
岐阜市【岐阜市文化産業交流センター】（愛称：じゅうろくプラザ）,株式会社十六フィナンシャルグループ,岐阜県,文化交流施設,"年額761万9,091円（税抜）",762,契約期間中,岐阜県岐阜市橋本町1-10-11,地図を見る,https://www.google.co.jp/maps/search/岐阜県岐阜市橋本町1-10-11,136.7553503,35.4100516,3,3年（2025年9月1日～2028年8月31日）,https://www.city.gifu.lg.jp/info/kaikaku/1035576/1022686/1025734.html,岐阜市初のネーミングライツ（2007年9月1日～）,,,,,,,,
岐阜市【北西部運動公園】（愛称：Showaスポーツピアザ）,昭和造園土木株式会社,岐阜県,スポーツ施設,"年額70万9,091円（税抜）",71,契約期間中,岐阜県岐阜市曽我屋8,地図を見る,https://www.google.co.jp/maps/search/岐阜県岐阜市曽我屋8,136.7108147,35.4315337,7,7年（2024年6月1日～2031年5月31日）,https://www.city.gifu.lg.jp/info/kaikaku/1035576/1022686/1025734.html,導入 2024年6月1日～,,,,,,,,
岐阜市【岐阜市駅西駐車場および岐阜シティ・タワー43地下駐車場】（愛称：昭和コンクリート駅西駐車場）,昭和コンクリート工業株式会社,岐阜県,交通・インフラ,"年額27万2,727円（税抜）",28,契約期間中,岐阜県岐阜市橋本町2-16 ほか,地図を見る,https://www.google.co.jp/maps/search/岐阜県岐阜市橋本町2-16 ほか,136.7542675,35.410211,3,3年（2024年6月1日～2027年5月31日）,https://www.city.gifu.lg.jp/info/kaikaku/1035576/1022686/1025734.html,なし,,,,,,,,
豊橋市【東部東山線やまびこ号】（愛称：みんなにエール とよしんバス 東部東山線やまびこ号）,豊橋信用金庫,愛知県,交通・インフラ,"年額181,818円（税抜）",,契約期間中,愛知県豊橋市内運航（東部地区）,地図を見る,https://www.google.co.jp/maps/search/愛知県豊橋市内運航（東部地区）,137.3916837,34.7688528,5,5年（2025年10月1日～2030年9月30日）,https://www.city.toyohashi.lg.jp/61887.htm,・コミュニティバスのネーミングライツ ・愛称標示場所：車両後方窓枠、バス停の表示板、コミュニティバスパンフレット、市ホームページ等,,,,,,,,
豊橋市【豊橋市動物愛護センター「猫モデルルーム」】（愛称：中央製乳キャットルームMilk）,中央製乳株式会社,愛知県,その他,"年額272,727円（税抜）",19,契約期間中,愛知県豊橋市中野町字中原145,地図を見る,https://www.google.co.jp/maps/search/愛知県豊橋市中野町字中原145,137.3693736,34.7323047,5,5年（2025年10月1日～2030年9月30日）,https://www.city.toyohashi.lg.jp/62266.htm,なし,,,,,,,,
岡崎市【岡崎市民球場】（愛称：岡崎レッドダイヤモンドスタジアム）,三菱自動車工業株式会社,愛知県,スポーツ施設,非公表,28,契約期間中,愛知県岡崎市高隆寺町字峠1,地図を見る,https://www.google.co.jp/maps/search/愛知県岡崎市高隆寺町字峠1,137.2115342,34.9482518,,非公表,https://www.weblio.jp/content/%E5%B2%A1%E5%B4%8E%E5%B8%82%E6%B0%91%E7%90%83%E5%A0%B4,一般公募による命名,,,,,,,,
一宮市【いちのみや中央プラザ体育館（アリーナ部分）】（愛称：いちい信金中央アリーナ）,いちい信用金庫,愛知県,スポーツ施設,"年額2,318,182円（税抜）",232,契約期間中,愛知県一宮市野口1-6-22,地図を見る,https://www.google.co.jp/maps/search/愛知県一宮市野口1-6-22,136.7901119,35.3002087,5,5年（2024年4月1日～2029年3月31日）,https://www.city.ichinomiya.aichi.jp/katsuryokusouzou/shiteikanri/1044288/1059814.html,なし,,,,,,,,
一宮市【一宮市木曽川文化会館ホール】（愛称：尾西信金ホール）,尾西信用金庫,愛知県,文化交流施設,年額200万円（税抜）,200,契約期間中,愛知県一宮市木曽川町内割田一の通り27,地図を見る,https://www.google.co.jp/maps/search/愛知県一宮市木曽川町内割田一の通り27,136.7781145,35.3370939,5,5年（2026年4月1日～2031年3月31日）,https://www.city.ichinomiya.aichi.jp/katsuryokusouzou/shiteikanri/1044288/1005813.html,契約更新,,,,,,,,
大津市【皇子山総合運動公園野球場 （皇子山球場）】（愛称：マイネットスタジアム皇子山）,株式会社マイネット,滋賀県,スポーツ施設,年額500万円（税抜）,500,契約期間中,滋賀県大津市御陵町4-1,地図を見る,https://www.google.co.jp/maps/search/滋賀県大津市御陵町4-1,135.8558483,35.021557,5,5年（2022年4月1日～2027年3月31日）,https://www.city.otsu.lg.jp/soshiki/005/1227/g/nr/46051.html,なし,,,,,,,,
大津市【近江神宮外苑公園】（愛称：ブランチパーク）,大和リース株式会社,滋賀県,公園・屋外空間,年額55万円（税抜）,55,契約期間中,滋賀県大津市二本松1-2,地図を見る,https://www.google.co.jp/maps/search/滋賀県大津市二本松1-2,135.864176,35.029975,4,4年（2023年4月1日～2027年3月31日）,https://www.city.otsu.lg.jp/soshiki/005/1227/g/nr/46051.html,なし,,,,,,,,
大津市【大津駅前公園】（愛称：大津駅前高栄ホームパーク）,株式会社高栄ホーム,滋賀県,公園・屋外空間,"年額222,000円（税抜）",23,契約期間中,滋賀県大津市京町3丁目1,地図を見る,https://www.google.co.jp/maps/search/滋賀県大津市京町3丁目1,135.8662529,35.0045066,10,10年（2023年8月1日～2033年7月31日）,https://www.city.otsu.lg.jp/soshiki/005/1227/g/nr/46051.html,なし,,,,,,,,
大津市【大津湖岸なぎさ公園の一部】（愛称：LAGO 大津）,株式会社たねや,滋賀県,公園・屋外空間,年額30万円（税抜）,30,契約期間中,滋賀県大津市島の関他,地図を見る,https://www.google.co.jp/maps/search/滋賀県大津市島の関他,135.8699655,35.0086374,9,9年（2024年11月1日～2033年10月31日）,https://www.city.otsu.lg.jp/soshiki/005/1227/g/nr/46051.html,なし,,,,,,,,
豊中市【豊中市立千里体育館】（愛称：豊泉家千里体育館）,社会福祉法人福祥福祉会,大阪府,スポーツ施設,年額100万円（税抜）,100,契約期間中,大阪府豊中市新千里東町3-8-1,地図を見る,https://www.google.co.jp/maps/search/大阪府豊中市新千里東町3-8-1,135.5041465,34.8080636,3,契約3年（2024年4月1日～2027年3月31日）,https://www.city.toyonaka.osaka.jp/joho/keikaku/saiken/sainyukakuho/namingrights/index.html,なし,,,,,,,,
豊中市【高川歩道橋】（愛称：医療法人五條歯科医院高川歩道橋）,医療法人五條歯科医院,大阪府,交通・インフラ,年額30万円（税抜）,30,契約期間中,大阪府豊中市小曽根4-10,地図を見る,https://www.google.co.jp/maps/search/大阪府豊中市小曽根4-10,135.4835117,34.7545186,5,5年（2025年9月1日～2030年8月31日）,https://www.city.toyonaka.osaka.jp/joho/keikaku/saiken/sainyukakuho/namingrights/index.html,なし,,,,,,,,
豊中市【豊島温水プール】（愛称：マリンフード豊中スイミングスタジアム）,マリンフード株式会社,大阪府,スポーツ施設,年額185万円（税抜）,185,契約期間中,大阪府豊中市服部西町5-1-1,地図を見る,https://www.google.co.jp/maps/search/大阪府豊中市服部西町5-1-1,135.4652454,34.762275,5,5年（2024年4月1日～2029年3月31日）,https://www.city.toyonaka.osaka.jp/joho/keikaku/saiken/sainyukakuho/namingrights/index.html,ふれあい緑地少年野球場 愛称：マリンフード豊中少年野球場 ふれあい緑地庭球場 愛称：マリンフード豊中テニスコート ふれあい緑地球技場 愛称：マリンフード豊中マルチグラウンド 含む,,,,,,,,
吹田市【市立吹田サッカースタジアム】（愛称：パナソニックスタジアム吹田）,パナソニックスポーツ株式会社,大阪府,スポーツ施設,年額2億円（税抜）,20000,契約期間中,大阪府吹田市千里万博公園3-3,地図を見る,https://www.google.co.jp/maps/search/大阪府吹田市千里万博公園3-3,135.5390095,34.7999669,5,5年（2023年1月1日～2027年12月31日）,https://www.city.suita.osaka.jp/bunka/1018347/1021077/1018351/1025431.html,契約更新（2018年1月～）,,,,,,,,
高槻市【高槻城公園芸術文化劇場大ホール】（愛称：トリシマホール）,株式会社酉島製作所,大阪府,文化交流施設,年額300万円（税抜）,300,契約期間中,大阪府高槻市野見町6-8,地図を見る,https://www.google.co.jp/maps/search/大阪府高槻市野見町6-8,135.6205999,34.843782,10,10年（2023年3月18日～2033年3月17日）,https://www.city.takatsuki.osaka.jp/soshiki/61/119899.html,なし,,,,,,,,
高槻市【高槻城公園芸術文化劇場小ホール】（愛称：太陽ファルマテックホール）,太陽ファルマテック株式会社,大阪府,文化交流施設,年額100万円（税抜）,100,契約期間中,大阪府高槻市野見町6-8,地図を見る,https://www.google.co.jp/maps/search/大阪府高槻市野見町6-8,135.6205999,34.843782,10,10年（2023年3月18日～2033年3月17日）,https://www.city.takatsuki.osaka.jp/soshiki/61/119899.html,なし,,,,,,,,
高槻市【高槻城公園芸術文化劇場大スタジオ】（愛称：サンユレックホール）,サンユレック株式会社,大阪府,文化交流施設,年額100万円（税抜）,100,契約期間中,大阪府高槻市野見町6-8,地図を見る,https://www.google.co.jp/maps/search/大阪府高槻市野見町6-8,135.6205999,34.843782,10,10年（2023年11月21日～2033年11月20日）,https://www.city.takatsuki.osaka.jp/soshiki/61/119899.html,なし,,,,,,,,
高槻市【安満遺跡公園内大屋根広場】（愛称：SAKURA広場）,株式会社SAKURA,大阪府,公園・屋外空間,"年額2,025,611円（税抜）",203,契約期間中,大阪府高槻市八丁畷町12-3,地図を見る,https://www.google.co.jp/maps/search/大阪府高槻市八丁畷町12-3,135.6288039,34.8546692,5,5年（2026年3月27日～2031年3月31日）,https://www.seibu-la.co.jp/park/ama-sitepark/,なし,,,,,,,,
高槻市【安満遺跡公園内パークセンター】（愛称：ボーネルンドPark Center）,株式会社ボーネルンド,大阪府,公園・屋外空間,"年額603,000円（税抜）",61,契約期間中,大阪府高槻市八丁畷町12-3,地図を見る,https://www.google.co.jp/maps/search/大阪府高槻市八丁畷町12-3,135.6288039,34.8546692,5,5年8日（2024年3月23日～2029年3月31日）,https://www.seibu-la.co.jp/park/ama-sitepark/,なし,,,,,,,,
高槻市【安満遺跡公園内エントランス広場】（愛称：サンスター広場）,サンスター株式会社,大阪府,公園・屋外空間,"年額552,750円（税抜）",56,契約期間中,大阪府高槻市八丁畷町12-3,地図を見る,https://www.google.co.jp/maps/search/大阪府高槻市八丁畷町12-3,135.6288039,34.8546692,5,5年8日（2024年3月23日～2029年3月31日）,https://www.seibu-la.co.jp/park/ama-sitepark/,なし,,,,,,,,
高槻市【安満遺跡公園内トイレ】（愛称：TAKAJYO TOILET）,株式会社高浄,大阪府,公園・屋外空間,"年額603,000円（税抜）",61,契約期間中,大阪府高槻市八丁畷町12-3,地図を見る,https://www.google.co.jp/maps/search/大阪府高槻市八丁畷町12-3,135.6288039,34.8546692,5,5年8日（2024年3月23日～2029年3月31日）,https://www.seibu-la.co.jp/park/ama-sitepark/,なし,,,,,,,,
枚方市【市駅歩道橋（ニッペパーク側）】（愛称：市駅歩道橋ゆうき内科つながるBRIDGE）,医療法人はじめ会 ゆうき内科,大阪府,交通・インフラ,年額31万円（税抜）,31,契約期間中,大阪府枚方市岡東町19-14（枚方市駅住所）,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市岡東町19-14（枚方市駅住所）,135.6485734,34.8160589,3,3年（2026年4月1日～2029年3月31日）,https://www.city.hirakata.osaka.jp/0000053281.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【楠葉中央線横断歩道橋】（愛称：美杉会グループ楠葉中央線横断歩道橋）,社会医療法人美杉会,大阪府,交通・インフラ,年額31万円（税抜）,31,契約期間中,大阪府枚方市楠葉花園町15-1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市楠葉花園町15-1,135.6778227,34.8611268,5,5年（2025年4月1日～2030年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【枚方市駅南口駅前広場花壇】（愛称：関西医大フラワー庭園）,学校法人関西医科大学,大阪府,公園・屋外空間,年額50万円（税抜）,50,契約期間中,大阪府枚方市岡東町19-14（枚方市駅住所）,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市岡東町19-14（枚方市駅住所）,135.6485734,34.8160589,3,3年（2026年4月1日～2029年3月31日）,https://www.city.hirakata.osaka.jp/0000053281.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【牧野駅駅前広場花壇】（愛称：美杉会グループ牧野駅前広場花壇）,社会医療法人美杉会,大阪府,公園・屋外空間,年額31万円（税抜）,31,契約期間中,大阪府枚方市牧野阪２(牧野駅住所),地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市牧野阪２(牧野駅住所),135.6655863,34.843886,5,5年（2025年4月1日～2030年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【中央図書館（エントランスホール）】（愛称：美杉会グループエントランスホール）,社会医療法人美杉会,大阪府,教育施設等,年額６万円（税抜）,6,契約期間中,大阪府枚方市車塚2-1-1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市車塚2-1-1,135.6716562,34.8333655,5,5年（2025年4月1日～2030年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【地域活性化支援センター（大研修室）】（愛称：TAMAYURAイベントホール）,株式会社TAMAYURA,大阪府,文化交流施設,年額20万円（税抜）,20,契約期間中,大阪府枚方市車塚1-1-1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市車塚1-1-1,135.6707336,34.833581,5,5年（2026年4月1日～2031年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【総合文化芸術センター本館（大ホール）】（愛称：関西医大 大ホール）,学校法人関西医科大学,大阪府,文化交流施設,"年額1,050万円（税抜）",1050,契約期間中,大阪府枚方市新町2-1-5,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市新町2-1-5,135.6480809,34.8190736,5,5年（2026年4月1日～2031年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【総合文化芸術センター本館（小ホール）】（愛称：関西医大 小ホール）,学校法人関西医科大学,大阪府,文化交流施設,年額300万円（税抜）,300,契約期間中,大阪府枚方市新町2-1-5,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市新町2-1-5,135.6480809,34.8190736,5,5年（2026年4月1日～2031年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【総合文化芸術センター本館（イベントホール）】（愛称：ひらしんイベントホール）,枚方信用金庫,大阪府,文化交流施設,年額150万円（税抜）,150,契約期間中,大阪府枚方市新町2-1-5,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市新町2-1-5,135.6480809,34.8190736,5,5年（2026年4月1日～2031年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【総合文化芸術センター本館（美術ギャラリー）】（愛称：ひらしん美術ギャラリー）,枚方信用金庫,大阪府,文化交流施設,年額110万円（税抜）,110,契約期間中,大阪府枚方市新町2-1-5,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市新町2-1-5,135.6480809,34.8190736,5,5年（2026年4月1日～2031年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【茶屋町跨線橋】（愛称：家族葬 フローラルホール枚方 茶屋町跨線橋）,株式会社家族葬のフローラルホール,大阪府,交通・インフラ,年額30万円（税抜）,30,契約期間中,大阪府枚方市磯島北町33－1地先,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市磯島北町33－1地先,135.6497405,34.8253716,5,5年（2026年4月1日～2031年3月31日）,https://www.city.hirakata.osaka.jp/0000034630.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【市駅歩道橋（T-SITE前）】（愛称：YAMAUCHI CORP．市駅歩道橋）,ヤマウチ株式会社,大阪府,交通・インフラ,年額30万円（税抜）,30,契約期間中,大阪府枚方市岡東町19-14（枚方市駅住所）,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市岡東町19-14（枚方市駅住所）,135.6485734,34.8160589,3,3年（2025年4月1日～2028年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【総合スポーツセンター陸上競技場】（愛称：たまゆら陸上競技場）,株式会社TAMAYURA,大阪府,スポーツ施設,年額100万円（税抜）,100,契約期間中,大阪府枚方市中宮大池4-10-1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市中宮大池4-10-1,135.6843323,34.8188682,4.92,4年11ヵ月（2022年5月1日～2027年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【岡本町1号横断歩道橋】（愛称：ゆうき内科 健康ウォーク 岡本町1号歩道橋）,医療法人はじめ会 ゆうき内科,大阪府,交通・インフラ,年額30万円（税抜）,30,契約期間中,大阪府枚方市岡本町1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市岡本町1,135.6478845,34.8155901,4.58,4年7ヵ月（2022年9月1日～2027年3月31日）,https://www.city.hirakata.osaka.jp/0000046428.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【中央図書館軽読書コーナー】（愛称：枚方市書店商業協同組合軽読書コーナー）,枚方市書店商業協同組合,大阪府,教育施設等,年額3万円（税抜）,3,契約期間中,大阪府枚方市大垣内町2-1-20,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市大垣内町2-1-20,135.6512782,34.8147298,4.67,4年8ヵ月（2022年8月1日～2027年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【総合スポーツセンター総合体育館】（愛称：KTM河本工業総合体育館）,河本工業株式会社,大阪府,スポーツ施設,年額100万円（税抜）,100,契約期間中,大阪府枚方市中宮大池4-10-1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市中宮大池4-10-1,135.6843323,34.8188682,4.67,4年8ヵ月（2022年8月1日～2027年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【枚方公園駅西側駅前広場花壇】（愛称：サンエス工業くらわんかGarden）,サンエス工業株式会社,大阪府,公園・屋外空間,年額30万円（税抜）,30,契約期間中,大阪府枚方市岡東町19-14（枚方市駅住所）,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市岡東町19-14（枚方市駅住所）,135.6485734,34.8160589,3,3年（2025年4月1日～2028年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【南部生涯学習市民センターイベントホール】（愛称：株式会社さくらイベントホール）,株式会社さくら,大阪府,文化交流施設,年額12万円（税抜）,12,契約期間中,大阪府枚方市大垣内町2-1-20,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市大垣内町2-1-20,135.6512782,34.8147298,4.17,4年2ヵ月（2023年2月1日～2027年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【総合文化芸術センター別館メセナホール】（愛称：誠信建設工業メセナホール）,誠信建設工業株式会社,大阪府,文化交流施設,年額50万円（税抜）,50,契約期間中,大阪府枚方市新町2-1-5,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市新町2-1-5,135.6480809,34.8190736,5,5年（2023年4月1日～2028年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【伊加賀スポーツセンター】（愛称：誠信建設工業伊加賀スポーツセンター）,誠信建設工業株式会社,大阪府,スポーツ施設,年額50万円（税抜）,50,契約期間中,大阪府枚方市伊加賀西町53-2,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市伊加賀西町53-2,135.6267513,34.8057284,5,5年（2023年4月1日～2028年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【樟葉駅前芝生広場】（愛称：ハピネスパークKUZUHAグラススクエア）,株式会社西鶴,大阪府,公園・屋外空間,年額400万円（税抜）,400,契約期間中,大阪府枚方市楠葉花園町14-1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市楠葉花園町14-1,135.6754203,34.8619373,5,5年（2024年4月1日～2029年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【王仁公園テニスコート】（愛称：光栄プロテック王仁公園テニスコート）,株式会社光栄プロテック,大阪府,スポーツ施設,年額65万円（税抜）,65,契約期間中,大阪府枚方市王仁公園1-1,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市王仁公園1-1,135.7063839,34.8178316,5,5年（2024年4月1日～2029年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【天津橋】（愛称：アクセス天津橋）,株式会社アクセス,大阪府,交通・インフラ,年額31万円（税抜）,31,契約期間中,大阪府枚方市西禁野２,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市西禁野２,135.6532869,34.821254,5,5年（2024年4月1日～2029年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
枚方市【渚市民体育館】（愛称：昌栄工務店ひらかた渚体育館）,株式会社昌栄工務店,大阪府,スポーツ施設,年額30万円（税抜）,30,契約期間中,大阪府枚方市渚西3-26-10,地図を見る,https://www.google.co.jp/maps/search/大阪府枚方市渚西3-26-10,135.651867,34.8346528,5,5年（2024年4月1日～2029年3月31日）,https://www.city.hirakata.osaka.jp/0000034575.html,枚方市市有資産民間提案制度・ネーミングライツに関する新着情報がある場合、メールによる情報配信（不定期）を実施,,,,,,,,
