施設名,パートナー,所在地,カテゴリ,金額,金額（税抜・万円/年）,状況,住所,GoogleMap,GoogleマップURL,経度,緯度,契約期間（年）,契約期間(詳細）,掲載元URL,備考,,,,,,,,
八戸市【長根屋内スケート場】（愛称：YSアリーナ八戸）,株式会社吉田産業,青森県,スポーツ施設,"年額2,000万円（税抜）",2000,契約期間中,青森県八戸市大字売市字輿遊下3,地図を見る,https://www.google.co.jp/maps/search/青森県八戸市大字売市字輿遊下3,141.4822404,40.5095297,5,5年（2023年10月1日～2028年9月30日）,https://www.city.hachinohe.aomori.jp/jigyoshamuke/yuryokokokujigyo/namingrights/9754.html,スケート国体のメイン会場になるなど氷都・八戸を代表するリンク,,,,,,,,
盛岡市【盛岡南公園球技場】（愛称：いわぎんスタジアム）,株式会社岩手銀行,岩手県,スポーツ施設,年額300万円（税抜）,300,契約期間中,岩手県盛岡市永井8-65,地図を見る,https://www.google.co.jp/maps/search/岩手県盛岡市永井8-65,141.1378541,39.6479474,5,5年（2023年4月1日～2028年3月31日）,https://www.city.morioka.iwate.jp/shisei/zaisei/1010823.html,なし,,,,,,,,
盛岡市【盛岡市アイスリンク】（愛称：みちのくコカ・コーラボトリングリンク）,みちのくコカ・コーラボトリング株式会社,岩手県,スポーツ施設,年額100万円（税抜）,100,契約期間中,岩手県盛岡市本宮五丁目3-3,地図を見る,https://www.google.co.jp/maps/search/岩手県盛岡市本宮五丁目3-3,141.1220961,39.6914349,5,5年（2024年4月1日～2029年3月31日）,https://www.city.morioka.iwate.jp/shisei/zaisei/1010823.html,なし,,,,,,,,
盛岡市【盛岡市総合アリーナ】（愛称：盛岡タカヤアリーナ）,株式会社タカヤ,岩手県,スポーツ施設,年額480万円（税抜）,480,契約期間中,岩手県盛岡市本宮五丁目4-1,地図を見る,https://www.google.co.jp/maps/search/岩手県盛岡市本宮五丁目4-1,141.1204517,39.6908904,5,5年（2024年4月1日～2029年3月31日）,https://www.city.morioka.iwate.jp/shisei/zaisei/1010823.html,なし,,,,,,,,
盛岡市【いわて盛岡ボールパーク】（愛称：きたぎんボールパーク）,株式会社北日本銀行,岩手県,スポーツ施設,"年額1,389万円（税抜）",1389,契約期間中,岩手県盛岡市永井7地割16番地2,地図を見る,https://www.google.co.jp/maps/search/岩手県盛岡市永井7地割16番地2,141.1378546,39.6503203,5,5年（2023年4月1日～2028年3月31日）,https://www.city.morioka.iwate.jp/shisei/zaisei/1010823.html,なし,,,,,,,,
盛岡市【盛岡体育館】（愛称：ムセンコネクトもりおかアリーナ）,株式会社ムセンコネクト,岩手県,スポーツ施設,"年額727,273円（税抜）",728,契約期間中,岩手県盛岡市上田三丁目17-60,地図を見る,https://www.google.co.jp/maps/search/岩手県盛岡市上田三丁目17-60,141.1368421,39.7186869,4,4年（2025年4月1日～2029年3月31日）,https://www.city.morioka.iwate.jp/shisei/zaisei/1010823.html,なし,,,,,,,,
盛岡市【盛岡市営盛岡駅前自転車駐車場】（愛称：チャーリーオージ自転車駐車場）,合同会社ロードプリンス,岩手県,交通・インフラ,"年額54,546円（税抜）",55,契約期間中,岩手県盛岡市盛岡駅前通11-11,地図を見る,https://www.google.co.jp/maps/search/岩手県盛岡市盛岡駅前通11-11,141.1387075,39.7032008,2.83,2年10か月（2025年6月1日～2028年3月31日）,https://www.city.morioka.iwate.jp/shisei/zaisei/1010823.html,なし,,,,,,,,
秋田市【八橋運動公園球技場】（愛称：秋田スポーツPLUS・ASPスタジアム）,特定非営利活動法人秋田スポーツPLUS,秋田県,スポーツ施設,年額100万円（税抜）,100,契約期間中,秋田県秋田市八橋運動公園1-1,地図を見る,https://www.google.co.jp/maps/search/秋田県秋田市八橋運動公園1-1,140.0992449,39.7216163,3,3年（2023年4月1日～2026年3月31日）,https://www.city.akita.lg.jp/kurashi/sports/1006377/1002448.html,なし,,,,,,,,
秋田市【八橋運動公園第2球技場】（愛称：スペースプロジェクト・ドリームフィールド）,株式会社スペースプロジェクト,秋田県,スポーツ施設,年額71万円（税抜）,71,契約期間中,秋田県秋田市八橋運動公園1-1,地図を見る,https://www.google.co.jp/maps/search/秋田県秋田市八橋運動公園1-1,140.0992449,39.7216163,3,3年（2023年4月1日～2026年3月31日）,https://www.city.akita.lg.jp/kurashi/sports/1006377/1002448.html,なし,,,,,,,,
秋田市【八橋運動公園陸上競技場】（愛称：ソユースタジアム）,株式会社ソユー,秋田県,スポーツ施設,年額350万円（税抜）,350,契約期間中,秋田県秋田市八橋運動公園1-1,地図を見る,https://www.google.co.jp/maps/search/秋田県秋田市八橋運動公園1-1,140.0992449,39.7216163,3,3年（2025年4月1日～2028年3月31日）,https://www.city.akita.lg.jp/kurashi/sports/1006377/1002448.html,なし,,,,,,,,
秋田市【八橋運動公園硬式野球場】（愛称：さきがけ八橋球場）,株式会社秋田魁新報社,秋田県,スポーツ施設,年額170万円（税抜）,170,契約期間中,秋田県秋田市八橋運動公園1-1,地図を見る,https://www.google.co.jp/maps/search/秋田県秋田市八橋運動公園1-1,140.0992449,39.7216163,3,3年（2025年4月1日～2028年3月31日）,https://www.city.akita.lg.jp/kurashi/sports/1006377/1002448.html,なし,,,,,,,,
秋田市【秋田市立体育館】（愛称：CNAアリーナ★あきた）,株式会社秋田ケーブルテレビ,秋田県,スポーツ施設,年額278万円（税抜）,278,契約期間中,秋田県秋田市八橋本町六丁目12-20,地図を見る,https://www.google.co.jp/maps/search/秋田県秋田市八橋本町六丁目12-20,140.0877789,39.7257235,3,3年（2025年4月1日～2028年3月31日）,https://www.city.akita.lg.jp/kurashi/sports/1006377/1002448.html,なし,,,,,,,,
山形市【山形市総合スポーツセンター野球場】（愛称：きらやかスタジアム）,株式会社きらやか銀行,山形県,スポーツ施設,年額350万円（税抜）,350,契約期間中,山形県山形市旅篭町3-2-3,地図を見る,https://www.google.co.jp/maps/search/山形県山形市旅篭町3-2-3,140.3398855,38.2582466,5,5年（2022年9月1日～2027年8月31日）,https://www.city.yamagata-yamagata.lg.jp/bunkasports/sports/1006713/1009783.html,なし,,,,,,,,
山形市【山形市蔵王ジャンプ台】（愛称：アリオンテック蔵王シャンツェ）,アリオンテック株式会社,山形県,スポーツ施設,年額400万円（税抜）,400,契約期間中,山形県山形市蔵王温泉字柳平768,地図を見る,https://www.google.co.jp/maps/search/山形県山形市蔵王温泉字柳平768,140.3989922,38.1692019,5,5年（2026年1月1日～2030年12月31日）,https://www.city.yamagata-yamagata.lg.jp/bunkasports/sports/1006713/1017500.html,5年（2021年1月1日～2025年12月31日）からの契約更新,,,,,,,,
山形市【山形市グラウンド・ゴルフ場】（愛称：コンフォート ヤマガタ グラウンド・ゴルフ場）,株式会社 オフィスコンフォートM,山形県,スポーツ施設,年額50万円（税抜）,50,契約期間中,山形県山形市樋越51-1,地図を見る,https://www.google.co.jp/maps/search/山形県山形市樋越51-1,140.3264003,38.2880306,5,5年（2024年8月10日～2029年8月9日）,https://www.city.yamagata-yamagata.lg.jp/_res/projects/default_project/_page_/001/014/207/20240712noannounce.pdf,5年（2019年8月10日～2024年8月9日）からの契約更新,,,,,,,,
郡山市【郡山市中央公民館】（愛称：郡山冷蔵製氷中央公民館）,郡山冷蔵製氷株式会社,福島県,文化交流施設,年額230万円（税抜）,230,契約期間中,福島県郡山市麓山1丁目8-4,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市麓山1丁目8-4,140.3723464,37.3944115,5,5年（2026年4月1日～2031年3月31日）,https://www.city.koriyama.lg.jp/soshiki/26/135362.html,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山市労働福祉会館】（愛称：ベスト学院労働福祉会館）,ベスト学院株式会社,福島県,文化交流施設,年額39万円（税抜）,39,契約期間中,福島県郡山市虎丸町7-7,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市虎丸町7-7,140.3736495,37.3984936,5,5年（2026年4月1日～2031年3月31日）,https://www.city.koriyama.lg.jp/soshiki/26/135362.html,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【開成山ペデストリアンデッキ】（愛称：ヤダドリーム開成山ペデストリアンデッキ）,矢田工業株式会社,福島県,公園・屋外空間,年額186万円（税抜）,186,契約期間中,福島県郡山市開成1丁目5,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市開成1丁目5,140.3577806,37.39943,5,5年（2026年4月1日～2031年3月31日）,https://www.city.koriyama.lg.jp/soshiki/26/135362.html,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山駅西口第一自転車等駐車場】（愛称：三立土建郡山駅西口第一サイクルパーク）,三立土建株式会社,福島県,交通・インフラ,年額35万円（税抜）,35,契約期間中,福島県郡山市字燧田190,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市字燧田190,140.3893244,37.3984008,5,5年（2026年4月1日～2031年3月31日）,https://www.city.koriyama.lg.jp/soshiki/26/135362.html,・3か所一括／応募資格：郡山市と関わりが深い法人格を有する団体 ・郡山駅西口第二・東口自転車等駐車場 愛称：三立土建郡山駅西口第二・東口サイクルパーク含む,,,,,,,,
郡山市【開成山野球場】（愛称：ヨーク開成山スタジアム）,株式会社ヨークベニマル,福島県,スポーツ施設,年額510万円（税抜）,510,契約期間中,福島県郡山市開成1-5-12,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市開成1-5-12,140.3604631,37.3979172,5,5年（2022年4月1日～2027年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【開成山屋内水泳場】（愛称：郡山しんきん開成山プール）,郡山信用金庫,福島県,スポーツ施設,年額210万円（税抜）,210,契約期間中,福島県郡山市開成1-5-12,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市開成1-5-12,140.3604631,37.3979172,5,5年（2023年4月1日～2028年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山市民文化センター】（愛称：けんしん郡山文化センター）,福島県商工信用組合,福島県,文化交流施設,年額520万円（税抜）,520,契約期間中,福島県郡山市堤下町1-2,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市堤下町1-2,140.3781947,37.3926826,5,5年（2023年4月1日～2028年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山総合体育館】（愛称：宝来屋 ボンズアリーナ）,株式会社宝来屋本店,福島県,スポーツ施設,年額400万円（税抜）,400,契約期間中,福島県郡山市豊田町3-10,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市豊田町3-10,140.3637851,37.3971065,5,5年（2025年4月1日～2030年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
